4510;Equipo;Equipo durante el período seleccionado;Posición específica;Edad;Valor de mercado (Transfermarkt);Vencimiento contrato;Partidos jugados;Minutos jugados;Goles;xG;Asistencias;xA;Duelos/90;Duelos ganados, %;País de nacimiento;Pasaporte;Pie;Altura;Peso;En prestamo;Acciones defensivas realizadas/90;Duelos defensivos/90;Duelos defensivos ganados, %;Duelos aéreos en los 90;Duelos aéreos ganados, %;Entradas/90;Posesión conquistada después de una entrada;Tiros interceptados/90;Interceptaciones/90;Posesión conquistada después de una interceptación;Faltas/90;Tarjetas amarillas;Tarjetas amarillas/90;Tarjetas rojas;Tarjetas rojas/90;Acciones de ataque exitosas/90;Goles/90;Goles (excepto los penaltis);Goles, excepto los penaltis/90;xG/90;Goles de cabeza;Goles de cabeza/90;Remates;Remates/90;Tiros a la portería, %;Goles hechos, %;Asistencias/90;Centros/90;Precisión centros, %;Centros desde la banda izquierda/90;Precisión centros desde la banda izquierda, %;Centros desde la banda derecha/90;Precisión centros desde la banda derecha, %;Centros al área pequeña/90;Regates/90;Regates realizados, %;Duelos atacantes/90;Duelos atacantes ganados, %;Toques en el área de penalti/90;Carreras en progresión/90;Aceleraciones/90;Pases largos recibidos/90;Faltas recibidas/90;Pases/90;Precisión pases, %;Pases hacia adelante/90;Precisión pases hacia adelante, %;Pases hacia atrás/90;Precision pases hacia atrás, %;Pases laterales/90;Precisión pases laterales, %;Pases cortos / medios /90;Precisión pases cortos / medios, %;Pases largos/90;Precisión pases largos, %;Longitud media pases, m;Longitud media pases largos, m;xA/90;Asistencias/90;Second assists/90;Third assists/90;Desmarques/90;Precisión desmarques, %;Jugadas claves/90;Pases en el último tercio/90;Precisión pases en el último tercio, %;Pases al área de penalti/90;Pases hacía el área pequeña, %;Pases en profundidad/90;Precisión pases en profundidad, %;Ataque en profundidad/90;Centros desde el último tercio/90;Pases progresivos/90;Precisión pases progresivos, %;Tiros libres/90;Tiros libres directos/90;Tiros libres directos, %;Córneres/90;Penaltis a favor;Penaltis realizados, %
I. Mili?evi?;Kifissia;Kifissia;LB;25;1000000;2024-06-15;18;1622;1;0,16;2;3,02;17,03;57;Croatia;Croatia, Bosnia and Herzegovina;izquierdo;183;76;no;10,99;8,6;59,35;2,44;63,64;0,67;0,84;0,17;5,22;6,54;0,67;2;0,11;0;0;3,66;0,06;1;0,06;0,01;0;0;10;0,55;20;10;0,11;5,16;36,56;4,61;33,73;0,5;66,67;0,78;2,27;68,29;3,77;57,35;0,33;1,44;0,72;1,72;0,55;35,9;68,32;14,37;62,55;4,77;91,86;11,6;67,94;24,14;79,31;7,1;51,56;24,84;42,33;0,17;1;0,06;0,06;0,28;40;0,5;7,05;61,42;4,66;41,67;0,78;21,43;0,17;2,11;10,54;73,68;1,66;0,28;20;2,72;0;0
B. Onyemaechi;Boavista;Boavista;LB;24;1000000;2024-06-30;18;1613;0;1,03;1;1,36;16,01;55,4;Nigeria;Nigeria;izquierdo;184;82;no;10,21;6,75;61,98;1,9;70,59;0,06;0,08;0,22;5,97;8,47;1,06;4;0,22;0;0;1,67;0;0;0;0,06;0;0;9;0,5;33,33;0;0,06;3,85;14,49;3,79;14,71;0,06;0;0,45;1,67;56,67;5,13;44,57;0,95;1,56;0,78;1,95;1,39;40,51;72,59;17,58;67,94;6,81;93,44;10,49;68,09;31,25;83,57;5,8;49,04;20,86;43,08;0,08;0,5;0,06;0;0,11;0;0,11;5,36;56,25;3,12;17,86;0,61;27,27;0,33;0,45;8,7;64,74;0,17;0;0;0,39;0;0
Flávio Nazinho;Cercle Brugge;Cercle Brugge;LB, LWB, LAMF;20;1000000;2024-06-30;17;1076;1;1,49;1;1,78;19,07;46,49;Portugal;Portugal, Guinea-Bissau;izquierdo;180;75;si;10,62;8,36;59;3,76;33,33;0,5;0,74;0;5,19;7,69;1,59;3;0,25;0;0;2,76;0,08;1;0,08;0,12;0;0;11;0,92;18,18;9,091;0,08;4,1;24,49;3,85;23,91;0,17;50;0,5;3,18;50;5,35;42,19;1,34;2,01;0,67;0,75;0,75;27,43;52,44;12,88;47,4;2,68;75;6,69;51,25;19,24;62,61;4,18;34;21,91;25,75;0,15;0,84;0;0;0,17;0;0,33;4,85;46,55;3,93;36,17;0,17;0;0,75;1,09;6,94;62,65;0,92;0;0;2,09;0;0
O. Bertel;Millonarios;Millonarios;LB;27;1000000;2024-12-31;8;556;0;0,08;0;0,57;16,42;60;Colombia;Colombia;izquierdo;174;64;no;11,01;10,24;69,81;1,16;33,33;0;0;0;3,86;4,96;0,97;1;0,16;0;0;2,12;0;0;0;0,01;0;0;3;0,58;66,67;0;0;3,86;20;3,86;20;0;0;0,39;1,55;62,5;2,7;57,14;0,77;1,55;0,39;1,16;0;34,76;78,33;12,36;76,56;6,37;90,91;10,82;76,79;28;88,97;3,28;47,06;18,75;35,82;0,11;0,97;0;0,19;0,19;0;0,39;3,86;75;4,06;33,33;0,58;33,33;0,77;1,16;6,37;81,82;0;0;0;0;0;0
U. García;Tapatío;Tapatío;LB, CF, LCB;22;1000000;2025-06-30;11;660;0;0,18;0;0;14,37;51,65;Mexico;Mexico;izquierdo;186;80;no;6,79;6,32;55;3,95;48;0,47;0,58;0,47;2,84;3,51;0,95;2;0,27;0;0;1,26;0;0;0;0,03;0;0;5;0,79;40;0;0;1,42;11,11;1,42;11,11;0;0;0,16;1,42;55,56;2,84;50;0,79;1,26;1,11;1,74;0,63;31,58;78;10,26;63,08;4,26;92,59;12,16;84,42;27,16;85,47;3;42,11;18,51;24,55;0;0;0;0;0,16;0;0;3;57,89;1,11;14,29;0,16;0;0;0,16;6;55,26;0;0;0;0;0;0
E. Tagseth;Rosenborg;Rosenborg;LWB, LB, LCMF;22;900000;2024-12-31;23;1700;0;0,73;2;3,51;16,68;52,06;Norway;Norway;izquierdo;171;67;no;8,15;6,99;65,15;1,96;54,05;0;0;0,16;3,6;4,76;0,9;5;0,26;0;0;2,65;0;0;0;0,04;0;0;8;0,42;12,5;0;0,11;3,18;36,67;3,07;37,93;0,11;0;0,42;2,17;53,66;4,66;38,64;2,22;1,48;0,69;1,8;0,85;46,85;81,92;14,77;74,91;9,05;95,91;12,71;81,67;39,81;88,83;3,97;48;17,03;32,08;0,19;1,06;0;0;0,37;71,43;0,74;5,51;65,38;3,39;48,44;0,64;33,33;1,27;1,22;7,94;79,33;0,11;0;0;0,21;0;0
G. Di Chiara;Parma;Parma;LB;30;900000;2025-06-30;18;1180;0;0,2;1;1,35;9,99;58,78;Italy;Italy;izquierdo;186;78;no;7,25;4,5;66,1;1,37;61,11;0,38;0,5;0,23;3,89;5,07;0,53;4;0,31;0;0;1,98;0;0;0;0,02;0;0;9;0,69;22,22;0;0,08;4,19;30,91;3,97;30,77;0,08;0;0,46;1,07;50;2,97;43,59;0,84;1,37;0,23;1,91;0,53;47,67;77,12;20,36;70,79;8,01;96,19;13,88;76,92;35,01;88,89;8,47;51,35;21,65;37,19;0,1;0,76;0,15;0;0,08;0;0,53;9,76;68,75;4,35;49,12;0,38;40;0,92;1,3;11,59;80,26;0,08;0;0;0,23;0;0
Weverson;Arouca;Arouca;LB;23;900000;2025-06-30;16;1156;0;0,21;1;0,84;13,08;55,95;Brazil;Brazil;izquierdo;185;73;no;8,33;6,46;67,47;1,32;70,59;0,31;0,43;0,31;3,66;5,04;0,7;2;0,16;0;0;1,79;0;0;0;0,02;0;0;6;0,47;0;0;0,08;3,19;24,39;3,19;24,39;0;0;0,31;1,63;61,9;4,05;42,31;0,54;1,32;0,62;1,95;0,54;33,63;77,78;11,21;68,75;6,62;96,47;11,21;77,78;26,16;88,1;4,52;53,45;21,33;34,21;0,07;0,62;0;0;0,08;0;0,39;3,97;68,63;2,8;30,56;0,47;0;0,23;0,7;6,38;69,51;0,08;0,08;0;0,23;0;0
R. Gagliolo;Ascoli;Ascoli;LCB, LB;33;900000;2024-06-30;8;485;0;0,5;0;0,12;15,03;56,79;Italy;Italy, Sweden;izquierdo;180;75;no;7,79;6,12;63,64;3,9;57,14;0,19;0,31;0,19;3,71;6,19;1,11;0;0;0;0;0,19;0;0;0;0,09;0;0;2;0,37;0;0;0;1,11;16,67;1,11;16,67;0;0;0;0;0;1,86;50;0,93;0,74;0,19;1,11;0,56;51,77;83,15;23,75;75,78;4,08;95,45;19,86;90,65;43,24;90,13;7,42;52,5;22,22;33,57;0,02;0,19;0,19;0;0,19;0;0;11,32;77,05;2,04;18,18;0,37;0;0;0,37;14,47;79,49;0;0;0;0;0;0
Juankar;Panathinaikos;Panathinaikos;LB;33;900000;2024-06-30;18;1462;0;0,06;5;2,66;13,73;55,61;Spain;Spain;izquierdo;177;68;no;7,26;5,91;62,5;1,29;47,62;0,12;0,18;0,25;3,45;5,15;0,8;3;0,18;1;0,06;2,77;0;0;0;0;0;0;3;0,18;33,33;0;0,31;3,14;43,14;3,14;43,14;0;0;0,31;1,91;64,52;3,45;60,71;0,86;1,42;0,31;3,39;1,48;37,24;81,32;10,1;73,17;8,68;95,04;12,31;82;31,89;87,07;2,46;52,5;18,92;30,57;0,16;0,98;0;0;0,37;33,33;0,68;2,59;61,9;2,89;51,06;0,37;33,33;0,43;1,23;6,4;72,12;0;0;0;0;0;0
J. Lefort;Angers SCO;Angers SCO;LB, LCB;30;900000;2024-06-30;22;1987;0;0,65;1;0,78;13,77;53,62;France;France;izquierdo;184;81;no;8,74;5,44;58,33;2,9;59,38;0,36;0,5;0,36;5,21;7,22;0,82;3;0,14;0;0;1,72;0;0;0;0,03;0;0;3;0,14;0;0;0,05;2,04;40;2,04;40;0;0;0,14;1,49;57,58;3,03;49,25;0,82;1,09;0,41;1,95;0,77;57,25;85,44;25,95;79,76;4,94;88,07;19,88;91,8;49,1;90,59;6,16;58,82;19,42;38,24;0,04;0,45;0,09;0;0,09;50;0,27;6,52;65,28;2,45;40,74;0,95;28,57;0,27;0,77;11,69;76,36;0;0;0;0,05;0;0
D. Kiki;Farul Constan?a;Farul Constan?a;LB, LWB;30;900000;2024-06-30;28;2389;1;0,63;1;1,23;17,67;52,24;Benin;Benin, France;izquierdo;180;75;no;8,14;6,25;66,27;2,79;60,81;0,19;0,24;0,08;3,8;4,93;0,79;5;0,19;1;0,04;2,67;0,04;1;0,04;0,02;0;0;11;0,41;45,45;9,091;0,04;2,03;24,07;1,92;23,53;0,11;33,33;0,15;3,96;47,62;7,08;38,3;0,79;2,6;0,41;3,28;0,53;34,73;78,63;12,28;70,86;5,8;94,81;10,55;82,14;30,03;84,69;2,79;51,35;18,23;32,72;0,05;0,57;0,08;0;0,15;75;0,19;4,11;74,31;1,62;46,51;0,26;14,29;0,38;0,53;7,2;69,11;0,08;0,04;0;0;0;0
Renê;Internacional;Internacional;LB;31;900000;2024-12-31;5;436;0;0;0;1,05;15,35;64,41;Brazil;Brazil;izquierdo;174;72;no;10,14;5,72;68,18;3,64;78,57;0,26;0,41;0;5,98;9,45;0,26;0;0;0;0;1,56;0;0;0;0;0;0;0;0;0;0;0;2,6;40;2,6;40;0;0;0,26;0,78;33,33;2,86;63,64;0,52;1,82;0;0,78;1,82;71,27;87,23;21,59;74,7;4,68;94,44;32,51;91,2;63,99;90,24;4,68;72,22;19,94;35,6;0,27;1,56;0,26;0;1,04;25;0,26;6,76;80,77;5,98;39,13;1,3;40;0,78;1,3;9,88;71,05;0,26;0;0;0,26;0;0
J. Dudziak;Hertha BSC;Hertha BSC;LB, RCMF;28;900000;2024-06-30;9;718;0;0,07;1;0,52;20,06;51,25;Germany;Germany, Tunisia;izquierdo;176;70;no;7,9;7,27;63,79;2,38;42,11;0;0;0,25;3,26;4,15;1,38;1;0,13;0;0;2,88;0;0;0;0,01;0;0;3;0,38;33,33;0;0,13;1,25;60;0,88;57,14;0,25;50;0,13;3,38;55,56;8,27;43,94;1;2,26;0,88;1;1,75;37,73;89,04;14,16;84,07;7,4;96,61;9,4;93,33;34,85;91,73;1,75;57,14;16,05;22,13;0,07;0,38;0,13;0;0,38;33,33;0,25;4,64;81,08;1,38;72,73;0,63;20;0,38;0,5;6,02;81,25;0;0;0;0;0;0
Rafael Rodrigues;Benfica II;Benfica II;LB;22;875000;2025-06-30;16;1463;0;0,01;1;0,68;14,89;56,61;Portugal;Portugal;izquierdo;176;70;no;8,49;7,57;69,11;1,97;37,5;0,43;0,67;0,18;2,83;4,38;1,05;5;0,31;0;0;1,29;0;0;0;0;0;0;2;0,12;0;0;0,06;1,72;53,57;1,72;53,57;0;0;0,12;0,74;50;3,08;46;0,43;1,11;0,25;1,54;0,86;43,12;80,46;18,89;68,73;6,34;98,06;12,18;87,88;35,5;88,04;5,91;42,71;18,95;35,08;0,04;0,37;0;0;0,12;0;0,25;7,51;68,85;2,58;59,52;0,8;38,46;0,62;0,92;10,21;76,51;0;0;0;0;0;0
A. Vuk?evi?;Juárez;Juárez;LB, LW, LWB;27;850000;2024-06-15;22;1882;1;1,54;0;1,63;12,91;51,11;Montenegro;Montenegro;izquierdo;180;83;no;5,21;4,64;57,73;1,96;48,78;0,53;0,63;0;2,01;2,42;0,67;2;0,1;0;0;3,2;0,05;1;0,05;0,07;0;0;8;0,38;37,5;12,5;0;3,2;46,27;3,11;46,15;0;0;0,14;2,77;55,17;4,93;50,49;1,15;1,87;1,1;1,87;0,48;22,86;78,03;6,55;67,15;4,88;93,14;7,56;77,85;17,41;88,19;2,44;47,06;19,73;31,04;0,08;0,48;0,05;0;0,1;50;0,33;2,34;69,39;2,49;53,85;0,1;0;0,38;1,39;4,54;67,37;0;0;0;0;0;0
D. van der Kust;Sparta Rotterdam;Sparta Rotterdam;LB, RB, LW;22;850000;2025-06-30;20;1826;1;0,88;2;1,95;20,26;50,61;Suriname;Suriname, Netherlands;izquierdo;178;71;no;12,77;10,65;59,26;2,07;50;0,35;0,43;0,64;6,11;7,69;1,08;3;0,15;0;0;2,86;0,05;1;0,05;0,04;0;0;11;0,54;63,64;9,091;0,1;3,25;37,88;3,11;38,1;0,1;50;0,1;1,87;60,53;5,32;39,81;1,28;1,53;0,44;1,23;0,59;41,45;80,26;12,96;68,06;7,54;96,73;14,93;84,49;33,86;86,9;4,53;58,7;19,55;34,38;0,1;0,59;0;0,05;0,35;42,86;0,44;4,24;72,09;3,75;46,05;0,59;50;1,04;1,23;7,98;69,14;0;0;0;0;0;0
João Mendes;Porto II;Porto II;LB;23;825000;2024-06-30;18;1283;1;0,41;1;1,52;11,01;60,51;Portugal;Portugal;izquierdo;179;72;no;7,23;4,98;69,01;2,17;54,84;0;0;0,14;3,79;6,89;0,63;3;0,21;1;0,07;2,53;0,07;1;0,07;0,03;0;0;13;0,91;30,77;7,692;0,07;4,07;29,31;4,07;29,31;0;0;0,56;1,26;77,78;2,31;60,61;0,84;1,82;0,63;3,44;0,35;47,49;76,51;15,85;65,04;9,96;92,96;13,89;75,76;37,81;85,34;5,82;50,6;19,59;37,96;0,11;0,98;0,07;0,07;0,21;33,33;0,28;6,24;62,92;4,35;35,48;0,77;18,18;0,7;1,05;8,35;84,03;0,63;0;0;0,7;0;0
Mateus Quaresma;Arouca;Arouca;LB;27;800000;2025-06-30;6;494;0;0,05;1;1,48;21,68;52,1;Brazil;Brazil;izquierdo;181;76;no;10,2;7,11;64,1;2;45,45;0,73;1,01;0,18;4,92;6,81;1,28;2;0,36;0;0;4,01;0;0;0;0,01;0;0;3;0,55;33,33;0;0,18;2,91;31,25;2,91;31,25;0;0;0;5,28;55,17;9,47;51,92;0,73;2;0,73;2,19;2;35,71;75;15,67;69,77;2,73;93,33;10,75;71,19;28,42;82,05;4,74;57,69;19,7;42,27;0,27;1,09;0;0;0,36;0;0,91;5,28;68,97;3,28;33,33;0,91;40;0,91;0,73;9,29;76,47;0;0;0;0;0;0
S. Hajdin;Železni?ar Pancevo;Železni?ar Pancevo;LWB, LB, LCMF;29;800000;2024-12-31;15;1346;2;1,53;4;1,35;17,72;50,19;Croatia;Croatia, Serbia;izquierdo;188;79;no;10,43;6,89;55,34;4,68;51,43;0,53;0,62;0,67;6,08;7,07;1,2;3;0,2;0;0;2,14;0,13;2;0,13;0,1;0;0;14;0,94;28,57;14,286;0,27;3,34;32;3,21;33,33;0,07;0;0,27;1,74;42,31;3,61;42,59;1,94;1,07;0,13;1,47;0,53;32,23;68,88;11,84;61,02;4,01;81,67;11,37;70,59;25,14;76,6;3,74;50;19,35;33,11;0,09;1,07;0;0,13;0,13;50;0,53;4,08;60,66;3,54;43,4;0,4;50;0,4;1,14;6,75;68,32;0,07;0;0;0,13;0;0
H. Mendyl;OH Leuven;OH Leuven;LWB, LB;26;800000;2025-06-30;17;1541;3;0,99;1;1,06;14,25;42,21;Morocco;Morocco, Côte d'Ivoire;izquierdo;179;73;no;7,24;4,85;49,4;1,87;46,88;0,35;0,42;0,23;4,5;5,35;1,28;9;0,53;1;0,06;3,1;0,18;3;0,18;0,06;0;0;9;0,53;77,78;33,333;0,06;1,81;38,71;1,64;35,71;0,18;66,67;0,35;3,85;46,97;5,26;41,11;1,17;1,99;0,47;1,93;0,29;27,62;74,21;11,8;61,88;5,31;93,41;6,13;74,29;23,36;80,75;2,45;38,1;17,47;33,75;0,06;0,41;0,18;0;0,23;75;0,29;2,74;68,09;1,69;51,72;0,12;50;0,41;0,76;5,55;58,95;0;0;0;0;0;0
A. Mendy;Grenoble;Grenoble;LB;29;800000;2025-06-30;9;733;0;0,11;1;0,52;14,73;61,67;Senegal;Senegal;izquierdo;180;75;no;8,23;4,91;72,5;3,19;65,38;0;0;0;4,67;6,06;0,61;2;0,25;0;0;2,46;0;0;0;0,01;0;0;5;0,61;20;0;0,12;3,32;18,52;3,19;19,23;0;0;0,86;3,32;51,85;4,67;50;0,86;3,07;1,35;2,09;0,86;57,71;81,91;21,61;68,75;6,88;98,21;21,98;89,94;49,36;89,55;5,16;50;20,64;27,85;0,06;0,61;0;0,12;0,37;0;0,37;6,02;55,1;3,32;40,74;1,11;33,33;0,86;0,86;10,07;74,39;0;0;0;0;0;0
A. Zagré;Excelsior;Excelsior;LB;22;800000;2024-06-30;21;1891;1;0,71;2;1,12;21,32;52,46;France;France, Burkina Faso;izquierdo;168;60;no;11,66;9,19;64,25;1,62;50;0,19;0,22;0,24;5,57;6,51;0,81;4;0,19;1;0,05;2,28;0,05;1;0,05;0,03;0;0;7;0,33;42,86;14,286;0,1;0,95;40;0,9;36,84;0;0;0,19;2,9;59,02;7,28;41,83;1,05;1,76;0,33;1,48;1,05;36,12;85,11;12,99;71,79;9,04;96,32;8,61;91,71;31,7;90,24;3,57;49,33;18,1;32,75;0,05;0,33;0,05;0,1;0,05;100;0,14;3,47;82,19;1,05;54,55;0,24;40;0,38;0,38;6,85;64,58;0;0;0;0;0;0
K. Çalhano?lu;Greuther Fürth;Greuther Fürth;LB, LWB;21;800000;2024-06-30;12;797;1;1,01;3;1,67;18,41;50,31;Germany;Germany, Turkey;izquierdo;183;79;si;8,58;7,23;73,44;3,95;45,71;0,11;0,16;0;3,16;4,52;1,02;1;0,11;0;0;3,39;0,11;0;0;0,11;0;0;9;1,02;33,33;11,111;0,34;5,31;29,79;4,97;27,27;0,34;66,67;0,45;2,48;54,55;5,65;34;0,56;1,69;0,68;1,69;0,34;38,73;70,55;15,47;63,5;5,98;88,68;11,52;69,61;28,12;82,73;5,53;46,94;20,73;32,58;0,19;1,24;0,11;0;0,23;50;0,79;6,55;74,14;4,63;43,9;0,56;20;0,45;1,36;10,5;75,27;0,56;0,23;50;0,34;1;100
Nacho Martínez;Tenerife;Tenerife;LB;34;800000;2024-06-30;19;1429;1;0,75;0;1,1;16,47;55,1;Spain;Spain;izquierdo;174;63;no;10,22;8,27;70,73;2,02;30;0,34;0,46;0,2;4,03;5,54;0,74;3;0,19;0;0;1,88;0,06;0;0;0,05;0;0;10;0,67;30;0;0;3,5;34,62;3,43;35,29;0,07;0;0,2;1,41;33,33;3,63;38,89;1,61;0,81;0,2;2,08;1,14;38,51;73,3;14,92;63,51;6,05;92,22;11,02;75,61;27,69;84,71;7,66;47,37;21,31;34,71;0,07;0,74;0;0;0,47;0;0,47;6,18;56,52;3,7;50,91;1,41;33,33;0,94;1,14;8,67;72,87;0,4;0;0;1,14;0;0
José Fontán;Cartagena;Cartagena;LB, LCB;23;800000;2025-06-30;24;2311;2;0,67;0;0,17;13,98;59,13;Spain;Spain;izquierdo;182;76;si;10,09;7,01;64,74;3,57;56,82;0,28;0,34;0,36;5,27;6,29;1,3;9;0,35;0;0;0,77;0,08;2;0,08;0,03;2;0,08;6;0,24;33,33;33,333;0;0,81;35;0,81;35;0;0;0,08;0,57;71,43;1,58;43,59;0,28;1,66;0,16;0,53;0,53;44,86;81,66;20,34;72,11;3,36;91,57;17,06;90,74;36,23;89,93;7,9;48,21;22,43;40,17;0,01;0,08;0;0;0,04;0;0,08;5,51;58,82;0,93;26,09;0,12;33,33;0,04;0,24;11,02;68,38;0,04;0;0;0;0;0
Jairo Izquierdo;Cartagena;Cartagena;LB, LCMF;30;800000;2024-06-30;22;1936;0;0,81;4;3,44;15,81;47,94;Spain;Spain;izquierdo;165;64;no;5,63;4,51;54,64;1,72;29,73;0,09;0,11;0,14;3,07;3,71;0,28;0;0;1;0,05;3,58;0;0;0;0,04;0;0;13;0,6;30,77;0;0,19;3,3;36,62;2,98;37,5;0,33;28,57;0,79;3,16;63,24;6,69;52,08;1,07;3,25;1,53;2,05;1,02;33,01;76,9;9,9;68,08;6,83;87,07;11,25;77,69;27,66;84,03;2,23;41,67;17,5;24,72;0,16;1,02;0,09;0;0,42;44,44;0,7;3,25;72,86;3,49;45,33;0,6;53,85;0,6;1,35;5,81;67,2;0,19;0;0;0,14;0;0
K. Kaïboué;Amiens SC;Amiens SC;LB, LCMF, LDMF;25;800000;2024-06-30;22;1885;0;2,11;1;2,55;18,76;55,47;France;France, Algeria;izquierdo;179;65;no;11,46;8,74;63,39;3,2;52,24;1,15;1,38;0,29;4,77;5,77;1,43;9;0,43;0;0;2,01;0;0;0;0,1;0;0;27;1,29;37,04;0;0,05;2,05;25,58;1,58;27,27;0,48;20;0,05;1,15;70,83;4,39;45,65;0,76;1;0,38;0,76;1,38;42,83;77,81;18,76;66,16;3,49;90,41;15,71;85,71;32,42;87,63;8,59;52,22;21,99;39,27;0,12;1;0,05;0;0,33;57,14;0,14;8,79;63,04;2,58;20,37;0,95;15;0,24;0,48;8,79;77,72;1,53;0,29;83,33;2,58;0;0
R. Opru?;Hermannstadt;Hermannstadt;LB;26;800000;2025-06-30;7;530;0;0,18;0;0,46;20,21;54,62;Romania;Romania;izquierdo;184;78;si;11,55;9,34;72,73;3,4;60;0,85;0,9;0,17;3,91;4,16;0,68;1;0,17;0;0;1,02;0;0;0;0,03;0;0;2;0,34;0;0;0;2,89;17,65;2,89;17,65;0;0;0,34;1,36;25;3,06;27,78;0,51;1,36;0,68;2,21;1,02;41,26;72,02;19,02;67,86;5,77;82,35;9;77,36;33,28;81,63;5,09;40;18,25;31,64;0,08;0,51;0;0;0,51;33,33;0,17;4,42;69,23;2,21;23,08;0,51;66,67;0,34;0,51;9,34;49,09;0;0;0;0;0;0
L. Benito;Young Boys;Young Boys;LCB, LB;32;800000;2025-06-30;24;2197;2;0,88;0;0,25;13,27;56,79;Switzerland;Switzerland, Spain;izquierdo;186;85;no;9,95;6,68;58,9;3,73;58,24;0,12;0,17;0,78;5,9;8,2;1,02;5;0,2;0;0;0,49;0,08;2;0,08;0,04;2;0,08;7;0,29;42,86;28,571;0;0,94;26,09;0,9;22,73;0,04;100;0,04;0,45;27,27;0,94;30,43;0,61;0,74;0,2;0,7;0,2;50,14;86,76;23,68;79,76;3,48;92,94;17,9;93,82;43,55;92,1;5,74;55;19,91;35,39;0,01;0,2;0;0;0;0;0,04;6,47;69,62;1,15;35,71;0,2;40;0,33;0,2;10,04;74,69;0,04;0;0;0;0;0
C. Verdonk;NEC;NEC;LB, LCB;26;800000;2024-06-30;24;2320;1;0,3;2;2,16;17,84;57,92;Netherlands;Netherlands;izquierdo;174;70;no;12,19;9,4;61,8;2,26;50;0,44;0,52;0,61;5,93;6,89;1,13;4;0,16;0;0;1,7;0,04;1;0,04;0,01;0;0;12;0,48;16,67;8,333;0,08;2,58;34,38;2,54;34,92;0,04;0;0,04;1,01;64;2,95;54,79;0,48;1,53;0,89;1,65;0,69;53,35;79,95;21,43;70,43;6,3;92,95;18,4;86,18;43,87;86,57;7,02;54,6;20,5;37,14;0,09;0,69;0,08;0;0,2;40;0,36;5,97;65,54;3,07;35,53;0,52;23,08;0,4;0,81;11,42;66,08;0,04;0,04;100;0,08;0;0
Enric Franquesa;Leganés;Leganés;LB;26;800000;2025-06-30;25;2453;1;1,05;3;2,43;19,48;54,05;Spain;Spain;izquierdo;175;71;no;8,99;8,22;60,27;1,98;44,44;0,18;0,21;0,18;3,85;4,4;0,88;3;0,11;0;0;3,34;0,04;1;0,04;0,04;0;0;10;0,37;30;10;0,11;2,27;25,81;2,27;25,81;0;0;0,33;4,26;62,07;7,23;51,27;0,92;2,24;1,21;0,92;1,14;27,81;78,63;9,28;64,82;7,45;96,55;6,27;78,95;23,41;86,68;2,2;46,67;18,79;33,57;0,09;0,55;0;0;0;0;0,33;2,49;63,24;1,76;39,58;0,15;0;0,26;0,62;5,28;62,5;0;0;0;0;0;0
R. Leipertz;Paderborn;Paderborn;LB, CF, LWB;31;800000;2024-06-30;14;460;1;0,92;1;0,55;20,15;41,75;Germany;Germany;izquierdo;183;82;no;6,65;6,46;63,64;1,76;22,22;0,2;0,29;0;2,35;3,43;0,98;1;0,2;0;0;1,76;0,2;1;0,2;0,18;1;0,2;9;1,76;33,33;11,111;0,2;1,57;37,5;0,98;60;0,39;0;0;2,74;21,43;8,22;30,95;4,3;0,78;0,78;1,57;2,54;16,63;68,24;4,11;52,38;4,7;87,5;5,48;67,86;13,3;75;1,76;44,44;14,24;9,8;0,11;0,59;0,2;0;0;0;0,2;1,17;66,67;1,57;62,5;0;0;0,98;0,59;3,72;57,89;0;0;0;0;0;0
N. Hernández;San Lorenzo;San Lorenzo;LCB, LB;26;800000;2024-12-31;29;1923;1;0,78;2;0,56;9,25;55,91;Colombia;Colombia;izquierdo;185;78;no;7,41;4,13;54,22;2,34;46,81;0,6;0,9;0,25;4,58;6,9;0,95;7;0,33;1;0,05;0,2;0,05;1;0,05;0,04;1;0,05;5;0,25;20;20;0,1;0,25;20;0,25;20;0;0;0;0,1;50;0,65;38,46;0,5;3,03;0,15;0,25;0,5;42,59;89,14;15,32;77,6;2,64;98,11;20,65;96,63;36,52;94,14;5,87;60,17;19,78;29,04;0,03;0,1;0;0;0,05;100;0,1;5,77;69,83;1,14;52,17;0,4;25;0,4;0,05;7,26;78,08;0;0;0;0;0;0
G. Báez;Nacional;Nacional;LB, LCB;28;800000;2024-06-01;46;4245;1;1,25;6;5,08;14,29;54,68;Argentina;Argentina;izquierdo;178;74;no;8,45;5,82;73,54;2,58;40,35;0,23;0,41;0,25;3,94;7,22;0,72;5;0,11;2;0,04;1,99;0,02;1;0,02;0,03;0;0;29;0,66;13,79;3,448;0,14;2,65;36,75;2,56;36,28;0,09;50;0,25;1,31;65,52;3,74;39,39;1,06;0,84;0,41;1,92;0,41;38,78;80,56;14,97;72,01;5,77;96,47;13,09;81,14;30,14;88,28;6,16;60,66;20,18;34,59;0,11;0,79;0;0,05;0,18;37,5;0,48;5,07;68,75;2,56;49,56;0,43;36,84;0,5;0,93;8,35;78,59;0,09;0,02;0;0,34;0;0
